name,contact,email,DOB,amount,gender,invoice,tier
Rohit,9998889998,rk468335@gmail.com,01-01-2020,2500,M,ABX2000,1
Karan,9998889999,k@yahoo.com,01-01-2020,500,M,ABX2001,2
Rachit,9998890000,r468335@gmail.com,01-01-2020,2500,M,ABX2002,3
Kamal,9998890001,kamal@hotmail.com,01-01-2020,600,M,ABX2003,3
Ritu,9998890002,ritu@gmail.com,01-01-2020,750,F,ABX2004,1
Chaman,9998890003,ahaman@gmai.com,01-01-2020,880,M,ABX2005,2
Xithiz,9998890004,xx@yahoo.com,01-01-2020,5550,M,ABX2006,2
Suman,9998890005,suman@gmail.com,01-01-2020,7150,F,ABX2007,1
Karan Kumar,9998890006,karan@gmail.com,01-01-2020,7150,F,ABX2008,3
Aditya Shukla,9998890007,karan@gmail.com,01-01-2020,7150,F,ABX2009,1
Aditya Shukla,9998890008,karan@gmail.com,01-01-2020,7150,F,ABX2010,2
