name,contact,email,DOB,amount,gender,invoice,tier
Rohit,7541041991,rk468335@gmail.com,01-01-2020,2500,M,ABX01,1
Karan,8085456598,k@yahoo.com,01-01-2020,500,M,ABX01,2
Rachit,7541041990,r468335@gmail.com,01-01-2020,2500,M,ABX1002,3
Kamal,8236545210,kamal@hotmail.com,01-01-2020,600,M,ABX1003,3
Ritu,8974563200,ritu@gmail.com,01-01-2020,750,F,ABX1004,1
Chaman,6398521010,ahaman@gmai.com,01-01-2020,880,M,ABX1005,2
Xithiz,8965659865,xx@yahoo.com,01-01-2020,5550,M,ABX1006,2
Suman,9974563200,suman@gmail.com,01-01-2020,7150,F,ABX1007,1
Karan Kumar,1231231230,karan@gmail.com,01-01-2020,7150,F,ABX1008,3
Aditya Shukla,1231231277,karan@gmail.com,01-01-2020,7150,F,ABX1009,1
Aditya Shukla,1231231277,karan@gmail.com,01-01-2020,7150,F,ABX1010,2
